Open,High,Low,Close,Datetime
346,360,346,358.6,24.00-8.00-13.00 11.00:40.00
347.1,347.25,341.55,345.85,24.00-8.00-13.00 11.00:35.00
340,349.25,339.85,349.25,24.00-8.00-13.00 11.00:30.00
356.4,356.4,338,338,24.00-8.00-13.00 11.00:25.00
347.3,355.55,347.3,354.4,24.00-8.00-13.00 11.00:20.00
356.5,362.8,350,350,24.00-8.00-13.00 11.00:15.00
369.3,371.1,356.65,356.65,24.00-8.00-13.00 11.00:10.00
363.55,371.95,361.2,369.2,24.00-8.00-13.00 11.00:5.00
349.2,364.95,349.2,364.95,24.00-8.00-13.00 11.00:0.00
352.15,358.4,352.15,355.3,24.00-8.00-13.00 10.00:55.00
350.6,355.7,346.15,350.5,24.00-8.00-13.00 10.00:50.00
360.5,365,350,350.6,24.00-8.00-13.00 10.00:45.00
363.95,369,363.95,369,24.00-8.00-13.00 10.00:40.00
365.4,365.4,356.95,363,24.00-8.00-13.00 10.00:35.00
368,380,363.25,365.75,24.00-8.00-13.00 10.00:30.00
365.1,365.1,358,363.4,24.00-8.00-13.00 10.00:25.00
352,371.2,352,362.25,24.00-8.00-13.00 10.00:20.00
343.45,355.75,340,354.8,24.00-8.00-13.00 10.00:15.00
347.05,348.1,343,343,24.00-8.00-13.00 10.00:10.00
342.3,355,339,348.05,24.00-8.00-13.00 10.00:5.00
362.35,362.35,348.15,348.15,24.00-8.00-13.00 10.00:0.00
351.85,363.35,351.85,356.85,24.00-8.00-13.00 9.00:55.00
335.9,355,334.3,350.65,24.00-8.00-13.00 9.00:50.00
339.9,342.65,327.4,334.6,24.00-8.00-13.00 9.00:45.00
367,367,327.75,338,24.00-8.00-13.00 9.00:40.00
355.7,370.65,355.7,366,24.00-8.00-13.00 9.00:35.00
358.8,365.05,346.6,358.25,24.00-8.00-13.00 9.00:30.00
352.4,361.15,343.3,361.15,24.00-8.00-13.00 9.00:25.00
359.65,367.15,343.2,351.95,24.00-8.00-13.00 9.00:20.00
380,380,344.55,357.95,24.00-8.00-13.00 9.00:15.00
345.85,356.2,345.8,353,24.00-8.00-12.00 15.00:25.00
343.45,346.2,337.5,345,24.00-8.00-12.00 15.00:20.00
355.15,355.15,343.1,345.45,24.00-8.00-12.00 15.00:15.00
357.9,363.85,356.4,358,24.00-8.00-12.00 15.00:10.00
346.35,360,346.35,357.85,24.00-8.00-12.00 15.00:5.00
352.2,383.5,347.9,353,24.00-8.00-12.00 15.00:0.00
340,351.7,330,351.7,24.00-8.00-12.00 14.00:55.00
302.6,339.95,299.95,338.1,24.00-8.00-12.00 14.00:50.00
296.45,303.35,290,302.3,24.00-8.00-12.00 14.00:45.00
298.75,307.5,298.75,303.75,24.00-8.00-12.00 14.00:40.00
307.3,310,301,301,24.00-8.00-12.00 14.00:35.00
300,311.25,300,303.4,24.00-8.00-12.00 14.00:30.00
303.05,308.5,301,301,24.00-8.00-12.00 14.00:25.00
294.2,308.1,294.2,303.55,24.00-8.00-12.00 14.00:20.00
283,292.5,281.05,292.25,24.00-8.00-12.00 14.00:15.00
278.55,284,275.8,282.55,24.00-8.00-12.00 14.00:10.00
281.35,285,274.2,278,24.00-8.00-12.00 14.00:5.00
286.65,287,280.1,284,24.00-8.00-12.00 14.00:0.00
284.5,288.8,284.15,286.9,24.00-8.00-12.00 13.00:55.00
282.15,285,276.85,282.85,24.00-8.00-12.00 13.00:50.00
286.05,290.05,281.9,283.9,24.00-8.00-12.00 13.00:45.00
290.95,292.1,286.8,287.1,24.00-8.00-12.00 13.00:40.00
293.8,296.75,291.9,292.35,24.00-8.00-12.00 13.00:35.00
297.05,297.7,294,294.35,24.00-8.00-12.00 13.00:30.00
302.6,307.05,299.25,299.25,24.00-8.00-12.00 13.00:25.00
309.35,311,304.45,305.25,24.00-8.00-12.00 13.00:20.00
307,312.1,304.25,305.55,24.00-8.00-12.00 13.00:15.00
298,306.8,298,306.8,24.00-8.00-12.00 13.00:10.00
294,303,294,301.15,24.00-8.00-12.00 13.00:5.00
302.35,302.35,290.7,290.7,24.00-8.00-12.00 13.00:0.00
295.85,302.4,294.7,302,24.00-8.00-12.00 12.00:55.00
290.55,299.9,290.55,297.2,24.00-8.00-12.00 12.00:50.00
292.05,295.5,286.55,289.45,24.00-8.00-12.00 12.00:45.00
293.6,295.25,290,294.55,24.00-8.00-12.00 12.00:40.00
300,300,288.7,294.65,24.00-8.00-12.00 12.00:35.00
312.2,316,303,305.15,24.00-8.00-12.00 12.00:30.00
302.2,315.75,302.2,309.3,24.00-8.00-12.00 12.00:25.00
301,307.45,300.8,304.8,24.00-8.00-12.00 12.00:20.00
306,306,299.4,299.4,24.00-8.00-12.00 12.00:15.00
299.1,307.6,298.75,305.55,24.00-8.00-12.00 12.00:10.00
295.85,298,293.95,296.95,24.00-8.00-12.00 12.00:5.00
294.9,301.6,290,295.85,24.00-8.00-12.00 12.00:0.00
300.3,300.3,289.4,292.75,24.00-8.00-12.00 11.00:55.00
296.75,302.9,294.7,302.2,24.00-8.00-12.00 11.00:50.00
298.5,298.5,287.25,295.75,24.00-8.00-12.00 11.00:45.00
287.35,301.45,286.2,297.35,24.00-8.00-12.00 11.00:40.00
278.1,291.45,277.65,289.55,24.00-8.00-12.00 11.00:35.00
275,281.8,268.5,276.5,24.00-8.00-12.00 11.00:30.00
267.8,288.65,267.6,274.45,24.00-8.00-12.00 11.00:25.00
261.2,271.55,259.15,266.45,24.00-8.00-12.00 11.00:20.00
271.9,276.75,258,262.35,24.00-8.00-12.00 11.00:15.00
291.5,291.95,272.85,274,24.00-8.00-12.00 11.00:10.00
303.85,303.85,290,290.2,24.00-8.00-12.00 11.00:5.00
288.5,305.65,285,302.8,24.00-8.00-12.00 11.00:0.00
318.95,321.25,286.15,290.35,24.00-8.00-12.00 10.00:55.00
329.6,333.7,314.85,319.45,24.00-8.00-12.00 10.00:50.00
322.15,332.2,320.8,327.2,24.00-8.00-12.00 10.00:45.00
346.95,346.95,322.8,322.8,24.00-8.00-12.00 10.00:40.00
360,360.55,347.8,351.15,24.00-8.00-12.00 10.00:35.00
369.95,369.95,356.95,366,24.00-8.00-12.00 10.00:30.00
370.2,375.45,368.1,370.3,24.00-8.00-12.00 10.00:25.00
367,377.15,367,374.1,24.00-8.00-12.00 10.00:20.00
396.4,396.4,369.3,371.85,24.00-8.00-12.00 10.00:15.00
398.3,404.35,395,402,24.00-8.00-12.00 10.00:10.00
400.55,413.5,392.7,394.05,24.00-8.00-12.00 10.00:5.00
413.95,423.8,399.25,407.45,24.00-8.00-12.00 10.00:0.00
412.4,429,410,421.95,24.00-8.00-12.00 9.00:55.00
403.2,419,401.5,415,24.00-8.00-12.00 9.00:50.00
389.85,403,387.15,402.5,24.00-8.00-12.00 9.00:45.00
377.4,386.05,373.8,386.05,24.00-8.00-12.00 9.00:40.00
377.4,378.75,366.35,378.6,24.00-8.00-12.00 9.00:35.00
383.5,383.5,371.1,377.7,24.00-8.00-12.00 9.00:30.00
379.1,390.5,379.1,381.05,24.00-8.00-12.00 9.00:25.00
394.45,394.45,363.1,373,24.00-8.00-12.00 9.00:20.00
385,396.2,380,392.95,24.00-8.00-12.00 9.00:15.00
349.95,349.95,341.65,341.65,24.00-8.00-9.00 15.00:25.00
352,352.25,345.85,349.55,24.00-8.00-9.00 15.00:20.00
345.1,353,345.1,347.25,24.00-8.00-9.00 15.00:15.00
344.45,346.9,340,343.65,24.00-8.00-9.00 15.00:10.00
344.15,344.15,344.15,344.15,24.00-8.00-9.00 15.00:5.00
346.6,349,345.45,349,24.00-8.00-9.00 15.00:0.00
344.7,349.15,344.6,349.15,24.00-8.00-9.00 14.00:55.00
344,345.1,343.15,343.15,24.00-8.00-9.00 14.00:50.00
345,348.65,345,348.65,24.00-8.00-9.00 14.00:45.00
348,348.95,348,348.95,24.00-8.00-9.00 14.00:35.00
